user_id,condition,mental_demand,physical_demand,temporal_demand,frustration,effort,performance,confidence,evidence_findability,step_pinpointing,actionable_recommendations,divergence_understanding,comparison_efficiency,usage_order,source,is_condition_a,reduced_condition,performance_rev,nasa_workload_5d,less_manual_log_search,reasoning_panel_helpful,role,years_experience,llm_knowledge,agent_experience,debug_audit_frequency,agent_concepts
12,Condition B,5,3,3,1,2,7,5,7,4,7.0,9.0,9.0,1,dag,False,Condition B,4,3.0,,,Undergraduate,1-3 years,3(Quite Familiar),2(A little),3(Monthly),"Chain-of-Thought (CoT) Reasoning,ReAct (Reason + Act) patterns,Evaluation Benchmarks (e.g., GAIA, SWE-bench)"
12,Condition A,3,3,3,1,2,3,7,8,5,8.0,9.0,9.0,2,dag,True,,8,3.3333333333333335,,,Undergraduate,1-3 years,3(Quite Familiar),2(A little),3(Monthly),"Chain-of-Thought (CoT) Reasoning,ReAct (Reason + Act) patterns,Evaluation Benchmarks (e.g., GAIA, SWE-bench)"
1,Condition A,3,4,1,1,3,8,6,6,4,,,,1,evidence,True,,3,2.5,7.0,5.0,PhD Student,more than 5 years,4(Know a lot),2(A little),5(Daily),Chain-of-Thought (CoT) Reasoning
1,Condition C,6,8,5,3,4,6,3,3,4,,,,2,evidence,False,Condition C,5,5.166666666666667,3.0,5.0,PhD Student,more than 5 years,4(Know a lot),2(A little),5(Daily),Chain-of-Thought (CoT) Reasoning
3,Condition A,3,1,1,1,2,3,4,8,9,,,,1,evidence,True,,8,2.6666666666666665,6.0,8.0,student,1-3 years,2(Know a little),1(None),2(Sometimes),"Chain-of-Thought (CoT) Reasoning,Multi-agent Orchestration"
3,Condition C,1,1,1,1,3,5,5,4,8,,,,2,evidence,False,Condition C,6,2.1666666666666665,2.0,8.0,student,1-3 years,2(Know a little),1(None),2(Sometimes),"Chain-of-Thought (CoT) Reasoning,Multi-agent Orchestration"
5,Condition C,6,3,3,2,6,8,8,7,5,,,,1,evidence,False,Condition C,3,3.8333333333333335,8.0,8.0,PhD Student,more than 5 years,4(Know a lot),3(Quite familiar),4(Weekly),"Chain-of-Thought (CoT) Reasoning,Multi-agent Orchestration"
5,Condition A,4,3,3,3,5,8,8,8,6,,,,2,evidence,True,,3,3.5,8.0,7.0,PhD Student,more than 5 years,4(Know a lot),3(Quite familiar),4(Weekly),"Chain-of-Thought (CoT) Reasoning,Multi-agent Orchestration"
7,Condition A,3,1,2,1,1,10,9,9,10,,,,1,evidence,True,,1,1.5,9.0,10.0,PhD student,3-5 years,4(Know a lot),3(Quite familiar),3(Monthly),"Chain-of-Thought (CoT) Reasoning,Multi-agent Orchestration"
7,Condition C,8,6,5,7,6,3,6,4,3,,,,2,evidence,False,Condition C,8,6.666666666666667,2.0,1.0,PhD student,3-5 years,4(Know a lot),3(Quite familiar),3(Monthly),"Chain-of-Thought (CoT) Reasoning,Multi-agent Orchestration"
9,Condition C,7,1,7,6,5,3,5,3,3,,,,1,evidence,False,Condition C,8,5.666666666666667,8.0,6.0,PhD Student,more than 5 years,4(Know a lot),3(Quite familiar),1(Rarely),"Chain-of-Thought (CoT) Reasoning,ReAct (Reason + Act) patterns,Evaluation Benchmarks (e.g., GAIA, SWE-bench)"
9,Condition A,3,1,3,2,3,7,7,5,9,,,,2,evidence,True,,4,2.6666666666666665,9.0,9.0,PhD Student,more than 5 years,4(Know a lot),3(Quite familiar),1(Rarely),"Chain-of-Thought (CoT) Reasoning,ReAct (Reason + Act) patterns,Evaluation Benchmarks (e.g., GAIA, SWE-bench)"
11,Condition A,4,2,3,2,3,10,6,8,5,,,,1,evidence,True,,1,2.5,8.0,9.0,Predoctoral Researcher,1-3 years,2(Know a little),2(A little),1(Rarely),"Chain-of-Thought (CoT) Reasoning,Multi-agent Orchestration"
11,Condition C,4,1,1,1,4,9,7,3,4,,,,2,evidence,False,Condition C,2,2.1666666666666665,3.0,5.0,Predoctoral Researcher,1-3 years,2(Know a little),2(A little),1(Rarely),"Chain-of-Thought (CoT) Reasoning,Multi-agent Orchestration"
